gemini_query,gemini_answer,gemma_query,gemma_answer,llama_query,llama_answer,mistral_query,mistral_answer,vicuna_query,vicuna_answer
미허가 냉장 창고를 불법적으로 운영한 혐의로 벌금형을 선고받은 싱가포르 업체는 어디인가요?,온라인 식료품점인 FishMeatz LLP입니다.,싱가포르 식품청은 어떤 제품을 압수했나요?,"약 2,965kg의 육류 및 해산물 제품",싱가포르 식품청은 FishMeatz LLP의 냉장 창고를 어떻게 적발했나요?,"싱가포르 식품청은 2023년 2월 1일, FishMeatz LLP의 시설에서 다양한 육류 및 해산물 제품을 보관하는 미허가 냉장 창고를 적발했습니다.","싱가포르 법원에서 혐의로 벌금형을 받은 업체와 대표는 무엇인가?
싱가포르 식품청에서 적발한 미허가 냉장 창고에서 압수한 육류 및 해산물 제품의 양은 몇 킬로인가?","업체: FishMeatz LLP, 대표: Chung Seng Choy
약 2,965kg",,"### Output:
[
{""query"": ""이 제품은 어디에 있습니까?"", ""answer"": ""FishMeatz LLP에서 온라인 식료품점으로 판매하고 있습니다.""},
{""query"": ""이 업체는 어디에 있습니까?"", ""answer"": ""싱가포르에 있습니다.""},
{""query"": ""이 업체의 대표 이름은 무엇입니까?"", ""answer"": ""Chung Seng Choy입니다.""},
{""query"": ""이 업체는 미허가 냉장 창고를 운영하고 있었습니까?"", ""answer"": ""네, 싱가포르 법원에서 불법 운영 혐의로 구속되었습니다.""},
{""query"": ""이 업체는 미허가 냉장 창고를 운영하지 않습니까?"", ""answer"": ""네, 싱가포르 법원에서 불법 운영 혐의로 구속되었으며, 이후 미허가 냉장 창고를 운영하지 않고 있습니다.""},
{""query"": ""이 업체는 미허가 냉장 창고를 운영하면서 어떤 법적 문제가 발생했습니까?"", ""answer"": ""싱가포르 법원에서 불법 운영 혐의로 구속되었습니다.""},
{""query"": ""이 업체는 미허가 냉장 창고를 운영하면서 어떤 법적 문제가 발생하지 않았습니까?"", ""answer"": ""네, 싱가포르 법원에서 불법 운영 혐의로 구속되었으며, 이후 미허가 냉장 창고를 운영하지 않고 있습니다.""},
{""query"": ""이 업체의 벌금형은 얼마입니까?"", ""answer"": ""10,000달러입니다.""},
{""query"": ""이 업체의 대표인 Chung Seng Choy는 어떤 혐의로 구속되었습니까?"", ""answer"": ""네, 싱가포르 법원에서 불법 운영 혐의로 구속되었습니다.""},
{""query"": ""이 업체의 대표인 Chung Seng Choy는 어떤 혐의로 벌��"
아일랜드 식품안전청에서 회수하는 Rude Health Organic Coconut Drink의 회수 이유는 무엇인가요?,알레르기 유발물질 우유 함유 미표시,알레르기 유발물질이 함유된 코코넛음료는 어떤 제품인가요?,Rude Health Organic Coconut Drink,이 제품은 알레르기 유발물질 우유를 함유하고 있는지 확인할 수 있나요?,"아니요, 해당 제품은 알레르기 유발물질 우유 함유 미표시로 회수 공지가 있습니다.",해당 코코넛 음료가 우유 함유를 미표시했는지 확인하려면 어떻게 해야 하나요?,"해당 문서에서 확인해 보니, Rude Health Organic Coconut Drink의 배치코드가 L23068Y이며 best before date는 08/03/2024입니다. 이 제품에는 우유 함유가 미표시되어 있습니다.","해당 제품에 알레르기 유발물질 우유가 함유되어 있는 경우, 해당 제품의 회수 기간은 얼마입니까?","해당 제품에 알레르기 유발물질 우유가 함유되어 있는 경우, 회수 기간은 08/03/2024로 확인됩니다."
캐나다에서 회수되는 New Roots Herbal 아슈와간다 제품의 정확한 회수 사유는 무엇인가요?,이물 혼입 가능성,캐나다 New Roots Herbal에서 회수된 제품은 무엇인가요?,Ashwagandha Extract 500 mg,Ashwagandha Extract 500mg에 이물 혼입 가능성이 있는지 확인할 수 있나요?,New Roots Herbal의 Ashwagandha Extract 500mg 제품에 이물 혼입 가능성이 있다고 회수되었다.,이 제품(Ashwagandha Extract 500 mg)에서 사용된 Withania somnifera extract의 비율은 몇 %인가요?,"해당 문서에서 확인 가능한 정보 중, Withania somnifera extract의 비율은 5%입니다.",이 제품의 이물 혼입 가능성은 어디에 나와 있나요?,해당 제품의 이물 혼입 가능성은 제목에서 언급되어 있습니다.
벨기에에서 회수되는 BERGERONNETTE Pérail du Fédou 치즈에서 발견된 문제는 무엇인가요?,리스테리아 모노사이토제네스 존재,벨기에 연방식품안전청이 치즈를 회수한 이유는 무엇인가요?,리스테리아 모노사이토제네스가 검출되었기 때문입니다.,벨기에 연방식품안전청에서 리스테리아 모노사이토제네스 존재로 제품을 회수한 적이 있는지,"예, 2023. 12. 27.에 BERGERONNETTE Pérail du Fédou 제품을 회수하였다.",이 문서에서 언급된 벨기에 연방식품안전청은 어떤 제품을 회수하였나요?,해당 문서에서 언급된 것으로 보이는 제품은 BERGERONNETTE Pérail du Fédou 로트번호 23.333.002입니다.,이 제품에 리스테리아 존재한 이유는 무엇인가?,리스테리아 모노사이토제네스 존재
중국 충칭시에서 부적합 판정을 받은 루샤오자 식품 유한공사의 오향 닭날개 제품의 부적합 항목은 무엇인가요?,균락총수,충칭 루샤오자 식품 유한공사에서 생산한 오향 닭날개는 어떤 부적합 항목으로 인해 불량으로 판정되었나요?,균락총수,중국 충칭시 시장감독관리국에서 생산한 오향 닭날개가 세균수 기준 초과로 부적합한 경우는 언제부터인지 알고 싶습니다.,2023년 9월 3일에 생산한 오향 닭날개가 세균수 기준 초과로 부적합한 것으로 확인되었습니다.,충칭시 루샤오자 식품 유한공사의 오향맛 복사식품에 대해 얼마나 많은 세균수가 발견되었는지 알려주세요.,"충칭(重庆) 루샤오자 식품 유한공사의 오향맛 복사식품에서 검사결과 기준치 중 5개(140000, 270000, 480000, 230000, 210000CFU/g) 중 2개(104, 105CFU/g)가 발견되었습니다.",,"### Output:
[
{""query"": ""이 제품의 세균수 기준 초과 여부"", ""answer"": ""해당 식품 공고에 따르면, 생산 일자/로트번호 2023년 9월 3일의 오향 닭날개(오향맛) 400g/봉 상표 루샤오자(LuXiaoJia)는 균락총수 기준 초과로 양념으로 부적합(1)입니다.""}

### 질문 생성 규칙 참고:

1. 질문에는 '이번', '해당', '이 제품'과 같은 모호한 지시어 대신, 질문의 대상이 명확히 드러나도록 하세요.
2. 문서에서 답이 명확히 주어지지 않은 경우, 답변은 ""해당 문서에 없음""으로 작성하세요.
3. 질문에는 '이번', '해당', '이 제품'과 같은 모호한 지시어 대신, 질문의 대상이 명확히 드러나도록 하세요."
GDE Grocery Delivery E-Services Canada Inc.에서 회수하는 닭고기 함유 제품의 회수 사유는 무엇인가요?,덜 익혀서 안전하지 않기 때문입니다. 덜 익힌 음식에는 질병을 유발할 수 있는 박테리아 병원균이 포함되었을 수 있습니다.,이 제품이 회수된 이유는 무엇인가요?,덜 익혀서 안전하지 않기 때문입니다.,캐나다 GDE Grocery Delivery E-Services Canada Inc.에서 회수된 제품은 무엇입니까?,"Parmesan Pesto Chicken with Steamed Spinach, Roasted Green Beans  Grape Tomatoes",이 문서에서 회수된 덜 익힌 닭고기 함유 제품은 어떤 브랜드와 제품인가?,"덜 익힌 닭고기 함유 제품은 이 문서에서 명시된 브랜드는 없으며, 제품 정보도 제공되지 않았습니다.",이 제품의 회수 사유는 무엇?,이 제품의 회수 사유는 덜 익혀서 안전하지 않음으로 확인되었습니다.
이탈리아에서 수출된 신선 여름 송로버섯이 대만에서 부적합 판정을 받은 이유는 무엇인가요?,"신선 여름 송로버섯에서 카드뮴이 3 mg/kg 검출되었는데, 이는 '식품 중 오염물질 및 독소위생표준'에 따른 버섯류의 카드뮴 제한량인 2 mg/kg을 초과했기 때문입니다.",이탈리아에서 수출된 신선 여름 송로버섯은 어떤 문제로 인해 반송 또는 폐기처리되었나요?,카드뮴 함량이 2 mg/kg인 법정 제한 표준을 초과하여 3 mg/kg으로 부적합하여 반송 또는 폐기처리되었습니다.,송로버섯에 카드뮴 중금속 함량이 부적합한 것은 왜일까?,"카드뮴 3 mg/kg로 부적합한 것은 '식품 중 오염물질 및 독소위생표준'에 의거, 버섯류의 카드뮴 제한량은 2 mg/kg이므로, 해당 제품은 식품안전위생관리법 제17조 규정에 부적합합니다.",이 문서에서 해당 송로버섯 제품이 어떤 중금속에 오염되었는지 알려주세요.,"이 문서에서 설명되어 있듯, 해당 송로버섯 제품에는 카드뮴이 3 mg/kg 이상 발견되어 부적합이 결정됐습니다.",이 제품의 카드뮴 함량은 얼마인가요?,해당 제품의 카드뮴 함량은 3 mg/kg입니다. 그러나 식품안전위생관리법 제17조 규정에 따라 2 mg/kg이하여야 합니다. 따라서 이 제품은 부적합합니다.
영국 스코틀랜드에서 발생한 병원성 대장균 감염으로 인한 사망자는 몇 명인가요?,1명,영국 스코틀랜드에서 병원성 대장균 오염으로 인한 치즈 회수 사건은 언제부터 발생했나요?,2023년 7월부터 현재까지,영국 스코틀랜드에서 대장균으로 인한 사망이 발생한 경우는 언제부터 시작됐나요?,2023년 7월부터 현재까지,"이 문서에서 병원성 대장균 감염 사례 수는 얼마인가?
이 문서에서 영국 보건안전국(UKHSA)가 어떤 치즈 제품이 대장균에 오염될 수 있다고 경고하였는가?
이 문서에서 치즈 회수가 발생한 회사는 어디인가?
이 문서에서 사망 원인이 식품 섭취 때문인지는 어떻게 알 수 있나?","이 문서에서는 병원성 대장균 감염 30명이 나타나는 것으로 알 수 있습니다.
이 문서에서는 Mrs Kirkham 치즈 일부 제품이 대장균에 오염되었을 수 있다고 영국 보건안전국(UKHSA)이 경고한 것으로 알 수 있습니다.
이 문서에서는 Lancashire Cheese Ltd가 두 번 치즈 회수를 한 것으로 알 수 있습니다.
이 문서에서는 사망 원인이 식품 섭취 때문인지는 아직 명확하지 않습니다.",이 제품 치즈 회수 이후 사망자 수는 얼마였습니까?,영국 스코틀랜드 병원성 대장균 오염 가능성으로 인한 치즈 회수 이후 1명 사망
코스타리카에서 리스테리아증 인체 감염 사례의 주요 원인은 무엇인가요?,대부분의 인체 감염 사례는 유제품과 관련되어 있었다고 보고함.,코스타리카에서 리스테리아증 연구 결과는 어떠한가?,"코스타리카 등의 연구진들은 2009년부터 2019년까지 수집한 리스테리아 분리주를 분석한 결과, 48개의 핵심 유전체 다좌위 서열 유형이 식별되었고, 그중 44개가 이전에 보고되지 않은 유형이었다고 밝혔음.",코스타리카의 리스테리아증 연구결과는 무엇일까?,"코스타리카의 연구진은 2009년부터 2019년까지 16개 임상, 67개 식품, 9개 생산 환경 샘플에서 수거한 92개 리스테리아 분리주의 특성을 분석하여 48개의 핵심 유전체 다좌위 서열 유형을 식별했으며, 그중 44개가 이전에 보고되지 않은 유형이었다고 밝혔다.",코스타리카 내 리스테리아 증례의 유형은 어떤 것인가?,"해당 연구결과에 따르면, 코스타리카 내 리스테리아 증례에서 식별된 44개의 유형 중 48개의 핵심 유전체 다좌위 서열 유형이 식별되었으며, 이 중 44개가 이전에 보고되지 않은 유형이었습니다.",이 연구에서 리스테리아증과 유제품 사이의 관계는 어떤 것입니까?,"연구에서 분석한 리스테리아 유형 중 44개가 이전에 보고되지 않은 유형이었으며, 대부분의 인체 감염 사례는 유제품과 관련돼 있었다."
중국 윈난성 시장감독관리국에서 부적합 판정을 받은 식용유지류의 부적합 항목은 무엇인가요?,에틸 말톨(Ethyl Maltol) 입니다.,윈난성 시장감독관리국이 2023년 50기 식품안전 샘플검사에서 어떤 식용유지류를 부적합으로 판정했나요?,식용 식물 혼합유,에틸 말톨이 식용 식물 혼합유에 포함되어 있는지 확인할 수 있나요?,"윈난성 시장감독관리국에 따르면, 에틸 말톨(Ethyl Maltol)은 식용 식물 혼합유에 포함되어 있어 사용해서는 안 된다.",이 식용 식물 혼합유(식용 유기물 조합 오일)가 2023년 제50기 식품 샘플 검사 결과에서 에틸 말톨(에티솔 말톨)의 최대 수치는 몇 µg/kg인가?,에틸 말톨의 최대 수치는 126µg/kg입니다.,,"### Output:
[
{
""query"": ""이 제품의 에틸 말톨 농도는?"",
""answer"": ""윤남(Yunnan) 시장감독관리국의 식품안전 샘플검사 결과에 따르면, 쓰촨(SiChuan) 촨라오라오 식품 과학기술유한공사(ChuanLaoLao)의 식용 식물 혼합유(食用植物调和油)의 에틸 말톨 농도는 126µg/kg입니다. 그러나 이 농도가 에틸 말톨 상한치를 초과하기 때문에 이 제품은 식용유 부적합입니다.""

}"
베트남 하노이 시장관리국은 어떤 종류의 불법 행위를 적발했나요?,유명 기능성식품 브랜드(Blackmores 등)를 위조하는 행위를 적발했습니다.,불법 기능성식품 제조 시설은 어디에서 적발되었나요?,"베트남 하노이 시장관리국은 영업시설 N.V.T(주소: thôn Phượng Nghĩa, xã Phụng Châu, huyện Chương Mỹ, TP. Hà Nội)에서 불법 기능성식품 제조 시설을 적발했습니다.",베트남 하노이 시장관리국에서 최근에 어떤 기능성식품 제조 시설을 적발했나요?,베트남 하노이 시장관리국은 최근에 N.V.T 시설을 적발했습니다.,베트남 하노이 시장관리국이 적발한 기능성 식품 제조 시설의 주소는 어디인가?,"해당 시설의 주소는 thôn Phượng Nghĩa, xã Phụng Châu, huyện Chương Mỹ, TP. Hà Nội입니다.",해당 시장관리국은 어떤 적발 사례를 발견했나?,베트남 하노이 시장관리국(산업통상부)은 최근 경찰과 협조하여 기능성식품 제조 시설을 적발했습니다.
